loss,grad_norm,learning_rate,epoch,step,model
3.3197,5.049463748931885,1.896296296296297e-05,0.08,50,Modelo_1
2.7492,3.218430995941162,1.525925925925926e-05,0.16,100,Modelo_1
2.4859,2.488842964172364,1.1555555555555556e-05,0.24,150,Modelo_1
2.4086,1.8326780796051023,7.851851851851853e-06,0.32,200,Modelo_1
2.2929,2.434948682785034,4.1481481481481485e-06,0.4,250,Modelo_1
2.3306,3.031721591949463,4.444444444444445e-07,0.48,300,Modelo_1
3.307,5.425924777984619,1.9848077530122083e-05,0.08,50,Modelo_2
2.7047,2.6010220050811768,1.7273736415730488e-05,0.16,100,Modelo_2
2.4563,2.406001091003418,1.2306158707424402e-05,0.24,150,Modelo_2
2.3901,1.969652533531189,6.579798566743314e-06,0.32,200,Modelo_2
2.2821,3.9716274738311768,1.9787680724495617e-06,0.4,250,Modelo_2
2.329,3.0494210720062256,1.6918417287318245e-08,0.48,300,Modelo_2
3.3414,4.586898326873779,9.913603233532068e-06,0.08,50,Modelo_3
3.0923,6.099300384521484,8.636868207865244e-06,0.16,100,Modelo_3
2.7973,2.2638633251190186,6.153079353712201e-06,0.24,150,Modelo_3
2.6471,2.821000814437866,3.289899283371657e-06,0.32,200,Modelo_3
2.5122,2.128241777420044,9.893840362247809e-07,0.4,250,Modelo_3
2.5459,3.5413174629211426,8.459208643659122e-09,0.48,300,Modelo_3
3.3557,3.7754664421081534,9.924038765061042e-06,0.08,50,Modelo_4
3.127,10.819086074829102,8.636868207865244e-06,0.16,100,Modelo_4
2.8259,2.038026571273804,6.153079353712201e-06,0.24,150,Modelo_4
2.6729,2.770357608795166,3.289899283371657e-06,0.32,200,Modelo_4
2.5342,1.953933358192444,9.893840362247809e-07,0.4,250,Modelo_4
2.5686,3.3574795722961426,8.459208643659122e-09,0.48,300,Modelo_4
3.3446,23.313282012939453,9.913603233532068e-06,0.08,50,Modelo_5
3.0971,6.172375679016113,8.636868207865244e-06,0.16,100,Modelo_5
2.8033,2.089149713516236,6.153079353712201e-06,0.24,150,Modelo_5
2.6525,2.514026641845703,3.289899283371657e-06,0.32,200,Modelo_5
2.5135,2.1492507457733154,9.893840362247809e-07,0.4,250,Modelo_5
2.5494,3.732457399368286,8.459208643659122e-09,0.48,300,Modelo_5
3.32,5.78571081161499,1.9848077530122083e-05,0.08,50,Modelo_6
2.7531,2.673382043838501,1.7273736415730488e-05,0.16,100,Modelo_6
2.4693,2.3574252128601074,1.2306158707424402e-05,0.24,150,Modelo_6
2.3955,1.861815810203552,6.579798566743314e-06,0.32,200,Modelo_6
2.2861,2.4464900493621826,1.9787680724495617e-06,0.4,250,Modelo_6
2.3328,2.926297426223755,1.6918417287318245e-08,0.48,300,Modelo_6
3.3091,5.555326461791992,1.9848077530122083e-05,0.08,50,Modelo_7
2.7252,2.5027596950531006,1.7273736415730488e-05,0.16,100,Modelo_7
2.4597,2.4175806045532227,1.2306158707424402e-05,0.24,150,Modelo_7
2.3909,1.8559324741363525,6.579798566743314e-06,0.32,200,Modelo_7
2.2804,2.6935319900512695,1.9787680724495617e-06,0.4,250,Modelo_7
2.3286,3.0507071018218994,1.6918417287318245e-08,0.48,300,Modelo_7
